feature,importance
temp_category_WARM,0.255416666110716
Physics_Risk_Score,0.1080028551941944
Life_Consumption,0.10238784644486536
Temperature,0.1010577378594916
Arrhenius_Degradation,0.09316816857768645
temperature_squared,0.08960307646204926
age_temp_interaction,0.08120394405195006
temp_winter_weighted,0.08001597122653932
Thermal_Aging,0.06075019648481636
Derating_Factor,0.011954872943293336
cables_per_duct,0.00873911856308764
condition_deteriorated,0.004877631310412349
temp_category_HOT,0.0014790453403264988
temp_category_COOL,0.0013428694305714958
Total_Joints,0.0
Cable_Age,0.0
temp_joint_interaction,0.0
critical_combo,0.0
age_joint_interaction,0.0
loading_category_LOW,0.0
loading_category_CRITICAL,0.0
is_winter,0.0
temp_stress,0.0
Loading_Ratio,0.0
overload_flag,0.0
joint_category_LOW,0.0
loading_temp_interaction,0.0
old_cable_flag,0.0
loading_per_cable,0.0
Loading_Temp_Stress,0.0
Joint_Density,0.0
Thermal_Stress,0.0
Joint_Thermal_Stress,0.0
cable_age_squared,0.0
is_summer,0.0
temp_summer_weighted,0.0
age_loading_interaction,0.0
high_temp_flag,0.0
cable_age_category_NEW,0.0
cable_age_category_OLD,0.0
cable_age_category_VERY_OLD,0.0
loading_ratio_squared,0.0
cable_age_category_MEDIUM,0.0
temp_category_VERY_HOT,0.0
loading_category_HIGH,0.0
loading_category_MEDIUM,0.0
joint_category_MEDIUM,0.0
joint_category_HIGH,0.0
joint_category_VERY_HIGH,0.0
Season_WINTER,0.0
